d,x1,x2,x3,x4,TI_03,TI_15,vel_03,vel_15
1.2,0.1,0.1,1,2.05,0.2281027,0.187332783,0.592851,0.73688
2,0.1,0.1,1,2.05,0.194467588,0.171104995,0.645404,0.762787
3,0.1,0.1,1,2.05,0.16798968,0.160851991,0.681375,0.77716
4,0.1,0.1,1,2.05,0.150299069,0.155015845,0.702466,0.784223
5,0.1,0.1,1,2.05,0.137290763,0.151120029,0.716499,0.788352
6,0.1,0.1,1,2.05,0.127127892,0.148221597,0.726633,0.791079
7,0.1,0.1,1,2.05,0.11886055,0.14590381,0.734367,0.793027
8,0.1,0.1,1,2.05,0.111940409,0.143958767,0.740511,0.794489
9,0.1,0.1,1,2.05,0.106025754,0.142272809,0.745542,0.795616
10,0.1,0.1,1,2.05,0.100890025,0.140775223,0.749755,0.796501
1.2,0.1,0.1,1,4,0.199546339,0.185970082,0.641425,0.738858
2,0.1,0.1,1,4,0.170508747,0.170330098,0.686566,0.763898
3,0.1,0.1,1,4,0.148814725,0.160436836,0.715584,0.777772
4,0.1,0.1,1,4,0.134647565,0.15478478,0.732148,0.784605
5,0.1,0.1,1,4,0.124337684,0.150994504,0.743,0.78862
6,0.1,0.1,1,4,0.116324974,0.14816253,0.750732,0.791285
7,0.1,0.1,1,4,0.109826859,0.145890519,0.75655,0.793196
8,0.1,0.1,1,4,0.10440057,0.143979617,0.761093,0.794633
9,0.1,0.1,1,4,0.099770908,0.142320027,0.764736,0.795743
10,0.1,0.1,1,4,0.095754204,0.140845515,0.767717,0.796612
1.2,0.1,2.05,0.1,0.1,0.09401707,0.174116653,0.751718,0.729093
2,0.1,2.05,0.1,0.1,0.083401829,0.162131202,0.769649,0.7587
3,0.1,2.05,0.1,0.1,0.076094735,0.154032856,0.779702,0.775019
4,0.1,2.05,0.1,0.1,0.071734492,0.149316677,0.785047,0.782932
5,0.1,2.05,0.1,0.1,0.068758036,0.146125808,0.788538,0.787469
6,0.1,2.05,0.1,0.1,0.066546702,0.143717896,0.791082,0.790408
7,0.1,2.05,0.1,0.1,0.064817561,0.141759717,0.793049,0.79248
8,0.1,2.05,0.1,0.1,0.063423148,0.140087616,0.794625,0.794023
9,0.1,2.05,0.1,0.1,0.062277826,0.138611498,0.795913,0.795212
10,0.1,2.05,0.1,0.1,0.061326584,0.137279348,0.796974,0.796146
1.2,0.1,2.05,0.1,2.05,0.079949646,0.167790286,0.767548,0.743205
2,0.1,2.05,0.1,2.05,0.072745681,0.158516936,0.779163,0.766023
3,0.1,2.05,0.1,2.05,0.06781964,0.152138012,0.78608,0.778819
4,0.1,2.05,0.1,2.05,0.064825351,0.14829412,0.790194,0.7852
5,0.1,2.05,0.1,2.05,0.062758615,0.145593486,0.793045,0.789006
6,0.1,2.05,0.1,2.05,0.061241061,0.143488732,0.795108,0.791564
7,0.1,2.05,0.1,2.05,0.060092698,0.141737508,0.796624,0.793416
8,0.1,2.05,0.1,2.05,0.059210509,0.140218297,0.79774,0.794816
9,0.1,2.05,0.1,2.05,0.058528217,0.138864093,0.79855,0.795899
10,0.1,2.05,0.1,2.05,0.057999087,0.13763365,0.799124,0.796749
1.2,0.1,2.05,0.1,4,0.077037197,0.165547341,0.770753,0.747701
2,0.1,2.05,0.1,4,0.07058769,0.157235471,0.781085,0.768298
3,0.1,2.05,0.1,4,0.066140546,0.151438027,0.787419,0.779989
4,0.1,2.05,0.1,4,0.063416275,0.147886166,0.791287,0.785909
5,0.1,2.05,0.1,4,0.061535751,0.145351249,0.793979,0.7895
6,0.1,2.05,0.1,4,0.060166734,0.143352058,0.795896,0.791946
7,0.1,2.05,0.1,4,0.059144674,0.141674731,0.797269,0.793732
8,0.1,2.05,0.1,4,0.058373211,0.140211878,0.798244,0.795087
9,0.1,2.05,0.1,4,0.057788191,0.138903248,0.798923,0.796137
10,0.1,2.05,0.1,4,0.057343657,0.137710652,0.799381,0.796961
1.2,0.1,2.05,0.55,0.1,0.190487109,0.178997546,0.477738,0.716319
2,0.1,2.05,0.55,0.1,0.183935929,0.16499639,0.507711,0.751802
3,0.1,2.05,0.55,0.1,0.167803224,0.15548256,0.554861,0.771369
4,0.1,2.05,0.55,0.1,0.151299904,0.150029595,0.590664,0.780759
5,0.1,2.05,0.55,0.1,0.137236811,0.146425565,0.616839,0.786031
6,0.1,2.05,0.55,0.1,0.125625618,0.143767008,0.63656,0.789362
7,0.1,2.05,0.55,0.1,0.116000217,0.141644718,0.651965,0.791662
8,0.1,2.05,0.55,0.1,0.107921733,0.139854925,0.664399,0.793351
9,0.1,2.05,0.55,0.1,0.101054132,0.138288653,0.674702,0.794644
10,0.1,2.05,0.55,0.1,0.095148557,0.136882664,0.683416,0.795661
1.2,0.1,2.05,0.55,2.05,0.085116548,0.168625875,0.761793,0.741471
2,0.1,2.05,0.55,2.05,0.076615589,0.1589937,0.775707,0.765137
3,0.1,2.05,0.55,2.05,0.070830181,0.152394421,0.783708,0.778361
4,0.1,2.05,0.55,2.05,0.067355177,0.148439222,0.788243,0.784926
5,0.1,2.05,0.55,2.05,0.064967214,0.145676001,0.791327,0.788816
6,0.1,2.05,0.55,2.05,0.063201063,0.143531708,0.793582,0.791419
7,0.1,2.05,0.55,2.05,0.061842732,0.141753165,0.795287,0.793297
8,0.1,2.05,0.55,2.05,0.060775318,0.140212781,0.796598,0.794715
9,0.1,2.05,0.55,2.05,0.059926403,0.138842098,0.797609,0.79581
10,0.1,2.05,0.55,2.05,0.059246498,0.137597515,0.798385,0.796671
1.2,0.1,2.05,0.55,4,0.079306151,0.165978961,0.76825,0.746851
2,0.1,2.05,0.55,4,0.072274253,0.157482785,0.779573,0.767869
3,0.1,2.05,0.55,4,0.067458652,0.151574651,0.786357,0.779768
4,0.1,2.05,0.55,4,0.06452687,0.147966854,0.790414,0.785775
5,0.1,2.05,0.55,4,0.062502793,0.145400199,0.793229,0.789406
6,0.1,2.05,0.55,4,0.061019046,0.143380846,0.79526,0.791873
7,0.1,2.05,0.55,4,0.059898999,0.141689354,0.796747,0.793671
8,0.1,2.05,0.55,4,0.059041445,0.140215407,0.797834,0.795035
9,0.1,2.05,0.55,4,0.058380457,0.138897642,0.798619,0.796091
10,0.1,2.05,0.55,4,0.057869839,0.137697917,0.799172,0.79692
1.2,0.1,2.05,1,0.1,0.049350167,0.191475442,0.492946,0.669887
2,0.1,2.05,1,0.1,0.036421742,0.173528729,0.480902,0.723964
3,0.1,2.05,1,0.1,0.028513247,0.159804971,0.475506,0.755967
4,0.1,2.05,1,0.1,0.02399467,0.15192599,0.473,0.771502
5,0.1,2.05,1,0.1,0.021016224,0.146928625,0.471457,0.780043
6,0.1,2.05,1,0.1,0.018877072,0.143439999,0.470365,0.785211
7,0.1,2.05,1,0.1,0.017253623,0.140797045,0.4695,0.788597
8,0.1,2.05,1,0.1,0.01597437,0.138660892,0.468801,0.790967
9,0.1,2.05,1,0.1,0.014965339,0.136848614,0.468002,0.792715
10,0.1,2.05,1,0.1,0.014430347,0.135255449,0.467026,0.794059
1.2,0.1,2.05,1,2.05,0.10063531,0.169673993,0.743536,0.739247
2,0.1,2.05,1,2.05,0.088703467,0.159591603,0.764335,0.763994
3,0.1,2.05,1,2.05,0.080355273,0.152712387,0.776046,0.777772
4,0.1,2.05,1,2.05,0.075368567,0.148616454,0.782084,0.784573
5,0.1,2.05,1,2.05,0.071986702,0.145773482,0.785875,0.788575
6,0.1,2.05,1,2.05,0.069486234,0.143579549,0.788557,0.791235
7,0.1,2.05,1,2.05,0.067529845,0.141766518,0.790596,0.793147
8,0.1,2.05,1,2.05,0.06594115,0.140200904,0.792219,0.794586
9,0.1,2.05,1,2.05,0.064619634,0.13880931,0.793551,0.795698
10,0.1,2.05,1,2.05,0.063502649,0.137547586,0.79467,0.796571
1.2,0.1,2.05,1,4,0.08289993,0.166467498,0.764249,0.745881
2,0.1,2.05,1,4,0.074955743,0.157762487,0.77717,0.767379
3,0.1,2.05,1,4,0.06954619,0.151728174,0.784699,0.779516
4,0.1,2.05,1,4,0.066283894,0.148056965,0.78905,0.785622
5,0.1,2.05,1,4,0.064038092,0.145454124,0.792035,0.789299
6,0.1,2.05,1,4,0.062381639,0.143411819,0.79421,0.79179
7,0.1,2.05,1,4,0.061115517,0.141703736,0.795838,0.793603
8,0.1,2.05,1,4,0.060128908,0.140217538,0.797069,0.794976
9,0.1,2.05,1,4,0.059352125,0.138890256,0.798,0.79604
10,0.1,2.05,1,4,0.058737189,0.137681849,0.798694,0.796874
1.2,0.1,4,0.1,0.1,0.177875571,0.168652285,0.5479,0.714726
2,0.1,4,0.1,0.1,0.166521175,0.158707878,0.608522,0.751547
3,0.1,4,0.1,0.1,0.149031813,0.151219531,0.65356,0.771436
4,0.1,4,0.1,0.1,0.135271466,0.146779731,0.680221,0.780864
5,0.1,4,0.1,0.1,0.124538414,0.143775695,0.697884,0.786127
6,0.1,4,0.1,0.1,0.115907865,0.141510734,0.710552,0.789442
7,0.1,4,0.1,0.1,0.108768947,0.139664797,0.720153,0.791729
8,0.1,4,0.1,0.1,0.102727122,0.138080002,0.72773,0.793407
9,0.1,4,0.1,0.1,0.097520109,0.136671411,0.733901,0.794691
10,0.1,4,0.1,0.1,0.092967733,0.135390327,0.739054,0.795701
1.2,0.1,4,0.1,2.05,0.077055319,0.160362941,0.764967,0.739072
2,0.1,4,0.1,2.05,0.070396965,0.15357688,0.77729,0.76364
3,0.1,4,0.1,2.05,0.065722439,0.148410784,0.784591,0.777489
4,0.1,4,0.1,2.05,0.062858792,0.145174318,0.788851,0.784358
5,0.1,4,0.1,2.05,0.060863836,0.142848549,0.791801,0.788402
6,0.1,4,0.1,2.05,0.05937622,0.141000407,0.793973,0.79109
7,0.1,4,0.1,2.05,0.058226532,0.139434593,0.795617,0.793021
8,0.1,4,0.1,2.05,0.057320572,0.138053783,0.796874,0.794474
9,0.1,4,0.1,2.05,0.056598571,0.136804824,0.797835,0.795599
10,0.1,4,0.1,2.05,0.056019675,0.13565522,0.79856,0.796484
1.2,0.1,4,0.1,4,0.073603935,0.157990957,0.769339,0.744247
2,0.1,4,0.1,4,0.067833176,0.152118211,0.779866,0.766155
3,0.1,4,0.1,4,0.06374291,0.14754694,0.786347,0.778731
4,0.1,4,0.1,4,0.061202843,0.144615293,0.790285,0.785079
5,0.1,4,0.1,4,0.059422971,0.142464192,0.793052,0.788884
6,0.1,4,0.1,4,0.058100503,0.140727315,0.795072,0.79145
7,0.1,4,0.1,4,0.057088813,0.139238797,0.796568,0.793313
8,0.1,4,0.1,4,0.056302873,0.137916039,0.797675,0.794723
9,0.1,4,0.1,4,0.055687487,0.136714019,0.798484,0.795816
10,0.1,4,0.1,4,0.055203661,0.135602605,0.799062,0.796677
1.2,0.1,4,0.55,0.1,0.104173425,0.174258204,0.486955,0.680476
2,0.1,4,0.55,0.1,0.090247304,0.163115413,0.472706,0.733851
3,0.1,4,0.55,0.1,0.077691907,0.153425492,0.46627,0.762496
4,0.1,4,0.55,0.1,0.070337894,0.147743656,0.464727,0.775732
5,0.1,4,0.55,0.1,0.070247401,0.144043519,0.469282,0.78288
6,0.1,4,0.55,0.1,0.077086995,0.141367162,0.482904,0.787207
7,0.1,4,0.55,0.1,0.084053811,0.139262156,0.503377,0.790073
8,0.1,4,0.55,0.1,0.087429213,0.137501153,0.525693,0.792111
9,0.1,4,0.55,0.1,0.087770785,0.13596314,0.546898,0.793638
10,0.1,4,0.55,0.1,0.086339008,0.134580399,0.566036,0.794823
1.2,0.1,4,0.55,2.05,0.080786309,0.160940865,0.76023,0.737738
2,0.1,4,0.55,2.05,0.073207452,0.153930721,0.774482,0.762988
3,0.1,4,0.55,2.05,0.067896527,0.148616439,0.782693,0.777165
4,0.1,4,0.55,2.05,0.064676491,0.145304099,0.787294,0.784171
5,0.1,4,0.55,2.05,0.06244892,0.142934836,0.790412,0.788278
6,0.1,4,0.55,2.05,0.060786267,0.141059114,0.792709,0.790998
7,0.1,4,0.55,2.05,0.059491895,0.13947477,0.794472,0.792946
8,0.1,4,0.55,2.05,0.058459954,0.138079859,0.795857,0.794412
9,0.1,4,0.55,2.05,0.057625529,0.136819499,0.796956,0.795545
10,0.1,4,0.55,2.05,0.056944902,0.135660684,0.797829,0.796436
1.2,0.1,4,0.55,4,0.074974094,0.158273035,0.767592,0.743651
2,0.1,4,0.55,4,0.068852092,0.15229283,0.778828,0.765866
3,0.1,4,0.55,4,0.06453407,0.147651894,0.78563,0.778588
4,0.1,4,0.55,4,0.061868373,0.144684615,0.789696,0.784995
5,0.1,4,0.55,4,0.060004709,0.142512276,0.792539,0.788828
6,0.1,4,0.55,4,0.058617691,0.140762386,0.794623,0.791408
7,0.1,4,0.55,4,0.057551861,0.139264544,0.796182,0.793279
8,0.1,4,0.55,4,0.056718725,0.137934848,0.797353,0.794694
9,0.1,4,0.55,4,0.056061315,0.136726783,0.798226,0.795791
10,0.1,4,0.55,4,0.055539932,0.135611168,0.798865,0.796654
1.2,0.1,4,1,0.1,0.019340039,0.129754787,0.49369,0.577766
2,0.1,4,1,0.1,0.013535335,0.142951797,0.482265,0.607419
3,0.1,4,1,0.1,0.010334995,0.152261925,0.477384,0.689918
4,0.1,4,1,0.1,0.008599308,0.146747282,0.474998,0.734635
5,0.1,4,1,0.1,0.007486463,0.141642934,0.47335,0.757983
6,0.1,4,1,0.1,0.006698704,0.137956941,0.472169,0.771202
7,0.1,4,1,0.1,0.006104717,0.135258316,0.471332,0.779209
8,0.1,4,1,0.1,0.005638016,0.133167339,0.470709,0.784349
9,0.1,4,1,0.1,0.005261705,0.131449095,0.470067,0.787821
10,0.1,4,1,0.1,0.004953298,0.129965625,0.469131,0.790278
1.2,0.1,4,1,2.05,0.089219202,0.16162413,0.749193,0.736115
2,0.1,4,1,2.05,0.079735599,0.154348943,0.767814,0.762192
3,0.1,4,1,2.05,0.072987295,0.148857065,0.77829,0.776771
4,0.1,4,1,2.05,0.068933372,0.145453978,0.783785,0.783942
5,0.1,4,1,2.05,0.066165615,0.143032593,0.787317,0.788128
6,0.1,4,1,2.05,0.064108009,0.141124788,0.789861,0.790886
7,0.1,4,1,2.05,0.062494322,0.139517794,0.791816,0.792857
8,0.1,4,1,2.05,0.061186212,0.138106076,0.793378,0.794336
9,0.1,4,1,2.05,0.060103654,0.136832604,0.794659,0.79548
10,0.1,4,1,2.05,0.059196105,0.135662816,0.795728,0.796378
1.2,0.1,4,1,4,0.076862692,0.158580783,0.765193,0.742995
2,0.1,4,1,4,0.070260243,0.152482592,0.777408,0.765548
3,0.1,4,1,4,0.065623748,0.14776546,0.784659,0.778431
4,0.1,4,1,4,0.062782394,0.144758403,0.788896,0.784905
5,0.1,4,1,4,0.060803239,0.142564267,0.791831,0.788767
6,0.1,4,1,4,0.059328267,0.14079968,0.79399,0.791362
7,0.1,4,1,4,0.05818942,0.139291754,0.795621,0.793241
8,0.1,4,1,4,0.057292719,0.137954734,0.796869,0.794661
9,0.1,4,1,4,0.056578764,0.136740448,0.797822,0.795763
10,0.1,4,1,4,0.05600659,0.135620071,0.798543,0.796629
1.2,0.55,0.1,0.1,0.1,0.115489957,0.207395402,0.794885,0.76997
2,0.55,0.1,0.1,0.1,0.110736273,0.190500225,0.797791,0.781786
3,0.55,0.1,0.1,0.1,0.108701857,0.179909165,0.799095,0.788453
4,0.55,0.1,0.1,0.1,0.108000871,0.173664939,0.799499,0.792154
